temp,entropy,entropy loss
1.974618136882781982e-01,5.461491942405700684e-01,5.123896524310112000e-03
1.638340353965759277e-01,5.652766227722167969e-01,-2.887269109487533569e-02
1.743435561656951904e-01,5.730862617492675781e-01,-4.150190576910972595e-02
4.416421651840209961e-01,5.653544068336486816e-01,-1.312002073973417282e-02
3.944727778434753418e-01,5.241858959197998047e-01,2.340707555413246155e-02
